,Planet,Simulation,Surface Pressure,Observations,Mean Temperature,Median Temperature,1-sigma Lower,1-sigma Upper
1,K2141,H10_IW4_00001_S40,474.71853428991705,11.0,767.007085857071,995.5698159216046,42.47865969163617,1224.05635328539
2,K2141,H10_IW4_00001_S10,37.15553686102315,9.0,820.5660594090431,1051.985760501227,47.952772997971095,1297.703847611905
3,HD3167,H10_IW4_00001,10.902882027016927,18.0,684.7932642822581,899.0465166035439,4.260117951532178,1078.2796512654102
4,HD3167,H20_IW4_00001,301.8890797227862,15.0,681.0301447720258,879.790166162308,22.643580623280737,1080.161661115033
5,LHS1478,H05_IW0_0001,317.21236610527086,9850.0,232.0363014988011,314.9868888249837,3.034049533025764,347.8043892063131
6,LHS1478,H05_IW4_0001,2693.2161974990063,9850.0,234.9720269803256,317.9587104340809,11.123128335835371,349.0099304524139
7,TOI500,H20_IW4_00001,217.25748870954104,36.0,705.1061824221388,903.2282474834036,7.513256261641286,1133.9160857467723
8,TOI500,H20_IW2_00001,20.38406192626932,38.0,725.753988884784,914.8410459895542,42.55390675189247,1131.805115802472
9,TOI561,H20_IW4_00001,45.076656752754914,34.0,871.4741680272866,1133.3664091944854,2.4013958468759,1396.8062442436346
10,TOI1416,H20_IW0_00001,437.01974105049806,37.0,596.7995356745611,796.3495026698498,0.0,986.5419176580916
11,TOI1416,H10_IW4_00001,55.97088523656926,53.0,572.8838128594415,766.1090108897262,0.0,938.5216816652965
12,TOI1416,H10_IW0_00001,4.9946599634028965,35.0,604.2420089317586,810.9679624799924,0.0,998.7153368020564
13,TOI1807,H10_IW0_00001,153.4742926519814,21.0,666.1286790599305,910.4183180535872,0.0,1126.0032343865755
14,TOI1807,H20_IW0_00001,772.4945333188908,21.0,668.8011003391924,905.5097712728924,0.0,1113.7363663791466
15,TOI1807,H5_IW4_00001,13.56641297896406,32.0,628.1298594523176,852.6667421986674,0.0,1062.576214229448
